"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 21 02:17:49 UTC 2025","Mon Jul 21 02:17:50 UTC 2025","462","tests","test_authors_happy","","","","Listing all authors",""
"passed","Mon Jul 21 02:17:48 UTC 2025","Mon Jul 21 02:17:49 UTC 2025","366","tests","test_authors_edge","","","","Requesting an author with invalid ID",""
"passed","Mon Jul 21 02:17:53 UTC 2025","Mon Jul 21 02:17:54 UTC 2025","1091","tests","test_books_happy","","","","Listing all books",""
"passed","Mon Jul 21 02:17:49 UTC 2025","Mon Jul 21 02:17:49 UTC 2025","462","tests","test_authors_edge","","","","Creating an author with minimal payload",""
"passed","Mon Jul 21 02:17:50 UTC 2025","Mon Jul 21 02:17:50 UTC 2025","419","tests","test_authors_happy","","","","Retrieving an author by ID",""
"passed","Mon Jul 21 02:17:55 UTC 2025","Mon Jul 21 02:17:56 UTC 2025","535","tests","test_books_happy","","","","Updating a book's title",""
"passed","Mon Jul 21 02:17:52 UTC 2025","Mon Jul 21 02:17:52 UTC 2025","422","tests","test_books_edge","","","","Requesting a book with invalid ID",""
"passed","Mon Jul 21 02:17:52 UTC 2025","Mon Jul 21 02:17:52 UTC 2025","425","tests","test_books_edge","","","","Requesting a book with invalid ID",""
"passed","Mon Jul 21 02:17:56 UTC 2025","Mon Jul 21 02:17:56 UTC 2025","445","tests","test_books_happy","","","","Deleting a book",""
"passed","Mon Jul 21 02:17:48 UTC 2025","Mon Jul 21 02:17:48 UTC 2025","370","tests","test_authors_edge","","","","Requesting an author with invalid ID",""
"passed","Mon Jul 21 02:17:55 UTC 2025","Mon Jul 21 02:17:55 UTC 2025","454","tests","test_books_happy","","","","Creating a book",""
"passed","Mon Jul 21 02:17:51 UTC 2025","Mon Jul 21 02:17:52 UTC 2025","443","tests","test_authors_happy","","","","Deleting an author",""
"passed","Mon Jul 21 02:17:53 UTC 2025","Mon Jul 21 02:17:53 UTC 2025","479","tests","test_books_edge","","","","Creating a book with minimal payload",""
"passed","Mon Jul 21 02:17:51 UTC 2025","Mon Jul 21 02:17:51 UTC 2025","550","tests","test_authors_happy","","","","Updating an authorâ€™s first name",""
"passed","Mon Jul 21 02:17:54 UTC 2025","Mon Jul 21 02:17:55 UTC 2025","405","tests","test_books_happy","","","","Retrieving a book by ID",""
"passed","Mon Jul 21 02:17:52 UTC 2025","Mon Jul 21 02:17:53 UTC 2025","422","tests","test_books_edge","","","","Requesting a book with invalid ID",""
"passed","Mon Jul 21 02:17:50 UTC 2025","Mon Jul 21 02:17:51 UTC 2025","465","tests","test_authors_happy","","","","Creating an author",""
"passed","Mon Jul 21 02:17:48 UTC 2025","Mon Jul 21 02:17:48 UTC 2025","387","tests","test_authors_edge","","","","Requesting an author with invalid ID",""
